gene_id,max_tpm,Body_vs_Head_FC,Body_vs_Head_padj,Major_vs_Body_FC,Major_vs_Body_padj,Ampullate_vs_Rest_FC,Ampullate_vs_Rest_padj,Tail_vs_Rest_FC,Tail_vs_Rest_padj,Duct_vs_Rest_FC,Duct_vs_Rest_padj,Sac_vs_Rest_FC,Sac_vs_Rest_padj,Body_vs_Head_PC1,Major_vs_Body_PC1,Ampullate_vs_Rest_PC1,Major_part_PC1,Major_part_PC2,MAG_part_Distance_PCA,MajorParts_PCA,Body_vs_Head_PLS1,Major_vs_Body_PLS1,Ampullate_vs_Rest_PLS1,MAG_part_p1,MAG_part_p2,MAG_part_Distance_PLS,MajorParts_PLS
augustus_masked-000000F-processed-gene-0.7,64.75227708093334,-1.6116507510415676,0.009848458906121488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.005169632182054152,NA,NA,NA,NA,NA,NA,-0.00912948935189387,NA,NA,NA,NA,NA,NA
augustus_masked-000000F-processed-gene-104.5,13.557433634950012,-0.4178798322611225,0.1911086991647601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0013273864320146628,NA,NA,NA,NA,NA,NA,-0.005857429347051647,NA,NA,NA,NA,NA,NA
augustus_masked-000000F-processed-gene-104.6,67.17330785771254,9.411864968117094,7.46696679241036e-21,6.599991466544805,4.284099245431082e-9,-2.445861906600097,0.29105360359281346,NA,NA,NA,NA,NA,NA,0.019691958597815196,-0.018012667039952638,3.652395769616283e-4,NA,NA,NA,NA,0.011894090239651586,0.01566491666785286,-0.0037665526449679387,NA,NA,NA,NA
augustus_masked-000000F-processed-gene-38.1,8.169329269314643,-4.915486683609291,2.7525503085029814e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.004623359957194572,NA,NA,NA,NA,NA,NA,-0.011376473574847378,NA,NA,NA,NA,NA,NA
augustus_masked-000000F-processed-gene-44.17,105.83881942243232,1.0621758305224211,0.016244780789498155,5.093077494576827,8.18137597835234e-15,0.6041920917842456,0.5695005390677238,NA,NA,NA,NA,NA,NA,0.004261639952295463,-0.020461176576566178,-0.0010562831351843733,NA,NA,NA,NA,0.0075977439694208575,0.015305742021843696,0.005008639978497444,NA,NA,NA,NA
augustus_masked-000000F-processed-gene-45.14,5.710774005987485,4.071595554924834,0.15707209004062173,3.6963152574945237,0.24547984936883707,NA,NA,NA,NA,NA,NA,NA,NA,0.0025265832289811845,-0.0020227644207793534,-1.765366862457862e-16,NA,NA,NA,NA,0.00755230377975241,0.011042158446010465,NA,NA,NA,NA,NA
augustus_masked-000000F-processed-gene-56.1,54.92298460860027,1.0052693883943014,9.222853011881699e-5,0.9531146238753848,5.061644594801482e-4,-0.018348682197519887,0.9677003210644748,NA,NA,NA,NA,NA,NA,0.004052787565915503,-0.00479953264460147,0.00204808869461222,NA,NA,NA,NA,0.010157128922187411,0.012159456256286264,-6.056672177851648e-5,NA,NA,NA,NA
augustus_masked-000000F-processed-gene-57.4,24.49418826525928,-1.368878613697654,0.11743018157554692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.004326716036918906,NA,NA,NA,NA,NA,NA,-0.0070259227652628075,NA,NA,NA,NA,NA,NA
augustus_masked-000000F-processed-gene-60.2,132.52881434927986,0.6105093693346234,0.06405637867144667,0.04168369730443768,0.9164783097834386,-0.05533617829497042,0.9139373265613219,NA,NA,NA,NA,NA,NA,0.0022868824262311693,-0.0011778365024575355,-5.348223290467282e-4,NA,NA,NA,NA,0.007330364125523399,7.8163629167553e-4,-0.0013119901904057086,NA,NA,NA,NA
augustus_masked-000000F-processed-gene-60.3,11.226462068000927,1.421393427940325,6.0451973113284344e-5,1.264028327667078,2.408129709703874e-4,-0.6036058119261412,0.2333760480342728,NA,NA,NA,NA,NA,NA,0.004685912871290336,-0.00490977762992801,0.0034256349462440795,NA,NA,NA,NA,0.010739412039920829,0.010901211222098032,-0.00935183720855227,NA,NA,NA,NA
