geneName,Part,relativeIntensity,gland
LASC009674,Gland,1.0053549116787236e-4,Minor
LASC009784,Gland,8.444409949190252e-4,Minor
LASC009843,Gland,2.1517207675860614e-4,Minor
LASC010012,Dope,0.0012006823296343348,Minor
LASC010012,Gland,0.008402276876896802,Minor
LASC010482,Gland,2.877915144380114e-4,Minor
LASC010684,Gland,2.3556507587264725e-4,Minor
LASC010830,Gland,6.724680653197023e-4,Minor
LASC010973,Gland,1.391157667461361e-4,Minor
LASC011026,Gland,1.95851629456597e-4,Minor
LASC011075,Gland,3.10558027822395e-4,Minor
LASC011232,Gland,6.519876517688468e-4,Minor
LASC011347,Gland,2.8294825909006704e-4,Minor
LASC011384,Gland,0.0010239073402309531,Minor
LASC011933,Gland,6.945293004140412e-4,Minor
LASC011995,Gland,3.4652234754139333e-4,Minor
LASC012598,Gland,2.0169065764618531e-4,Minor
LASC013229,Gland,7.644245936841346e-4,Minor
LASC013620,Dope,4.5294719303953345e-4,Minor
LASC013621,Dope,2.684443890192964e-4,Minor
LASC014184;khc,Gland,1.1423708000670944e-4,Minor
LASC014844,Gland,0.004069473227833873,Minor
LASC015247,Gland,9.999644861402909e-4,Minor
LASC015292,Gland,0.0014146465202648341,Minor
LASC015439,Gland,0.005808697844885806,Minor
LASC015638,Gland,0.002800764341038379,Minor
LASC015682,Dope,2.765765296705719e-4,Minor
LASC015682,Gland,0.0061751803690754305,Minor
LASC015735,Gland,2.3099126834319554e-4,Minor
LASC016132,Dope,1.7086090364223136e-4,Minor
LASC016132,Gland,0.0019450315343079467,Minor
LASC016339,Dope,3.8951618218387754e-4,Minor
LASC016339,Gland,0.002810915231807285,Minor
LASC016362,Gland,2.9722187075374967e-4,Minor
LASC016483,Gland,1.366383654496859e-4,Minor
LASC016530,Gland,1.3324503989141107e-4,Minor
LASC016532,Gland,1.092438642065808e-4,Minor
LASC016881,Gland,1.6299098969056706e-4,Minor
LASC016997,Dope,1.514407374228886e-4,Minor
LASC016997,Gland,1.841735436993916e-4,Minor
LASC017035,Gland,7.650591843245505e-4,Minor
LASC017036,Gland,5.392147489608535e-4,Minor
LASC017094;LASC011374,Gland,1.6376581517980868e-4,Minor
LASC017285,Gland,2.38294181258556e-4,Minor
LASC017315,Gland,3.266171973308494e-4,Minor
LASC017532,Gland,9.515605023007815e-4,Minor
LASC017716;LASC017623,Dope,1.9720210963957124e-4,Minor
LASC017716;LASC017623,Gland,0.002065536658828358,Minor
LASC018595,Gland,0.0022723605304753457,Minor
LASC018632,Gland,1.2595135237069495e-4,Minor
LASC018776,Gland,0.001830428454392611,Minor
LASC018874;LASC022857;LASC021646;LASC011699;LASC021415,Dope,0.016278205237920115,Minor
LASC018874;LASC022857;LASC021646;LASC011699;LASC021415,Gland,0.015336228177268315,Minor
LASC019081,Gland,2.442823094142022e-4,Minor
LASC019165,Gland,4.7084439129400517e-4,Minor
LASC019282;LASC015047,Dope,0.0036370161950435515,Minor
LASC019282;LASC015047,Gland,0.022970352645658148,Minor
LASC019392,Gland,1.0217695538521519e-4,Minor
LASC019923,Gland,0.005937066345984883,Minor
LASC020142,Gland,3.0372136082426935e-4,Minor
LASC020300,Gland,9.190468657734477e-4,Minor
LASC020361,Gland,5.137479158924925e-4,Minor
LASC020665,Gland,1.7815722342747048e-4,Minor
LASC020761,Gland,7.723549386873469e-4,Minor
LASC020883,Gland,1.0152607553893224e-4,Minor
LASC021266,Gland,0.0021194039907000604,Minor
LASC021418,Dope,1.0179726360644969e-4,Minor
LASC021418,Gland,0.0010184175187143432,Minor
LASC021594,Dope,1.275002777325678e-4,Minor
LASC021594,Gland,0.0037131601224691074,Minor
LASC022131,Gland,1.2385153069898274e-4,Minor
LASC022132,Gland,2.7924105404880645e-4,Minor
LASC022267;LASC019470;LASC022858;LASC019814;h2bc1,Dope,0.005080754017725337,Minor
LASC022267;LASC019470;LASC022858;LASC019814;h2bc1,Gland,0.020722383788761182,Minor
LASC022503;LASC015173,Dope,0.0021020418094626937,Minor
LASC022504;LASC015175,Dope,0.0018519729603760707,Minor
LASC022854;LASC022856;LASC016310,Dope,4.313430025922382e-4,Minor
LASC022854;LASC022856;LASC016310,Gland,0.011780422126057608,Minor
MaSp1a,Dope,0.0010415204272143223,Minor
MaSp1a,Gland,0.0016387757983377638,Minor
MaSp1a,Silk,0.05342927433105757,Minor
MaSp1b,Gland,1.6203836757497483e-4,Minor
MaSp1b,Silk,0.009968988822521915,Minor
MaSp1c,Gland,2.639925606990847e-4,Minor
MaSp1c,Silk,0.004179766093203369,Minor
MaSp2a,Silk,0.01072670706899458,Minor
MaSp2c,Dope,3.176947051739498e-4,Minor
MaSp2c,Gland,1.060682095705222e-4,Minor
MaSp2c,Silk,0.008350670863008941,Minor
MaSp2f,Gland,2.1141085819197718e-4,Minor
MaSp2f,Silk,0.028812067356210797,Minor
MaSp3b,Gland,1.6963743786993957e-4,Minor
MaSp3b,Silk,0.014474746482418827,Minor
MiSpa,Dope,0.4754890411171096,Minor
MiSpa,Gland,0.043442828616166315,Minor
MiSpa,Silk,0.6289136541684107,Minor
MiSpb,Dope,0.4180026449889664,Minor
MiSpb,Gland,0.026162677708176638,Minor
MiSpb,Silk,0.20293181540565705,Minor
MiSpc,Dope,1.530342517113465e-4,Minor
MiSpc,Gland,1.0826653456160437e-4,Minor
MiSpc,Silk,4.690794107796677e-4,Minor
MiSpd,Dope,0.02647255308677652,Minor
MiSpd,Gland,0.0018962336611957984,Minor
MiSpd,Silk,0.008705123798920833,Minor
REV__MiSpa,Gland,1.432656677511853e-4,Minor
REV__mnb_2,Gland,0.001467191040270832,Minor
Spice_8,Dope,2.7207528251549905e-4,Minor
Spidroin1,Gland,3.0787865894292885e-4,Minor
Spidroin3,Gland,1.4883174614588305e-4,Minor
TuSpb,Dope,0.0020492178439918745,Minor
aael006169,Gland,0.0012796563383118127,Minor
aael008004_elovl1,Gland,1.0095757525920888e-4,Minor
aael011789,Gland,6.672597067698099e-4,Minor
aass,Gland,6.262959410799115e-4,Minor
abat,Gland,3.9459709758143816e-4,Minor
abcc3,Gland,1.1256620773731908e-4,Minor
abce1,Gland,2.619883239528351e-4,Minor
abhd12_2,Gland,2.1968688490716702e-4,Minor
ablim1_ablim2,Gland,1.136288727049952e-4,Minor
acaa2,Gland,3.1371780254864156e-4,Minor
acad8,Gland,1.3888101069922518e-4,Minor
acadm,Gland,1.521072111416007e-4,Minor
acads,Gland,1.978828615965772e-4,Minor
acadvl,Gland,1.5022001191629017e-4,Minor
acat1-b,Gland,2.4370000534486777e-4,Minor
acat1_2,Gland,4.1007154822250225e-4,Minor
acly,Gland,2.3947108205646798e-4,Minor
aco2,Gland,9.500803963235506e-4,Minor
acp4_3;acpp_pho-5,Gland,1.9553647296155483e-4,Minor
acp7,Gland,7.837161442116231e-4,Minor
acsl1_5;acsl1;acsl1_4,Gland,2.4284012227630402e-4,Minor
actg1,Dope,3.4774269414968153e-4,Minor
actg1,Gland,0.0042399920248395425,Minor
actn,Gland,2.531475160256954e-4,Minor
actr1b,Gland,2.3029134925431076e-4,Minor
adk2,Gland,1.1806422701851331e-4,Minor
adk_adk2;zbtb48_3,Gland,2.76740468458251e-4,Minor
agap002499,Gland,3.821371560430181e-4,Minor
ago3_ago2,Gland,1.3527093984659768e-4,Minor
ahcy-a,Gland,5.35538891492647e-4,Minor
ahcyl1,Gland,1.8373555679472594e-4,Minor
aifm1,Gland,1.0349619677710767e-4,Minor
aimp1,Gland,2.998728623478963e-4,Minor
aimp2,Gland,1.623492264359496e-4,Minor
akr1b10;akr1b10_2;akr1a1a_akr1a1,Gland,2.2580740201794518e-4,Minor
aldh18a1,Gland,1.4992617185130664e-4,Minor
aldh1a2,Gland,5.12483816320413e-4,Minor
aldh1a2_2,Gland,1.3769408243675667e-4,Minor
aldh1l2,Gland,8.918036866340323e-4,Minor
aldh2_2,Gland,4.2761692269931254e-4,Minor
aldh3a2_2;aldh3a2,Gland,1.5484238361711738e-4,Minor
aldh4a1,Gland,8.760161320238967e-4,Minor
aldh5a1,Gland,1.1808506414512045e-4,Minor
aldh7a1,Gland,0.001164469718274272,Minor
alkbh3,Gland,1.149622641095377e-4,Minor
alkbh3_2;alkbh3_3,Gland,1.5098757043425674e-4,Minor
alpha-spec,Gland,8.644524076340537e-4,Minor
alphatub85e_tuba1c,Dope,1.143011088203718e-4,Minor
alphatub85e_tuba1c,Gland,5.175237186168967e-4,Minor
alpl_8,Gland,4.630716643087203e-4,Minor
alyref2_2,Gland,2.711055200441122e-4,Minor
ank3_8,Gland,2.727903739487907e-4,Minor
ankrd50_2,Gland,4.2780189135250527e-4,Minor
anp32a,Gland,3.48850057488634e-4,Minor
anp32a_2,Gland,3.9192782469715267e-4,Minor
anxa11,Gland,0.0011427796049097386,Minor
ap1m1,Gland,1.9212115731379568e-4,Minor
ap2a2_2,Gland,1.826530981380977e-4,Minor
ap2b1;ap1b1,Gland,2.5288751765860184e-4,Minor
apmap_3,Gland,3.6948515155737376e-4,Minor
aprt,Gland,1.7973418733281142e-4,Minor
arcn1,Gland,3.6037402641334883e-4,Minor
arf1,Gland,3.7005143672425565e-4,Minor
arf1_2,Gland,6.100688100998104e-4,Minor
arf4,Gland,3.409691016691007e-4,Minor
arfgap2,Gland,1.0089345908175682e-4,Minor
arhgdib_arhgdia,Gland,7.105219371512815e-4,Minor
arl1,Gland,1.1363492219316434e-4,Minor
arl6ip5,Gland,1.4225525435466663e-4,Minor
arl8ba_arl8b,Gland,1.4700806377229028e-4,Minor
arp3,Gland,1.0745708055480272e-4,Minor
asna,Gland,5.973338912893745e-4,Minor
atl,Gland,1.22473024109609e-4,Minor
atox1,Gland,5.453972852049025e-4,Minor
atp5f1b,Dope,2.0678268554907047e-4,Minor
atp5f1b,Gland,0.0024005199839154346,Minor
atp5f1d,Gland,4.7620445868404754e-4,Minor
atp5mg,Gland,1.2953488254502656e-4,Minor
atp6ap1,Gland,2.7534171132870326e-4,Minor
atp6v0a1,Gland,2.977261247465577e-4,Minor
atpalpha,Gland,0.0010002292668596041,Minor
atpalpha_4,Dope,3.174279285118876e-4,Minor
atpalpha_4,Gland,0.002391557907097642,Minor
atpsynb,Gland,5.967069254755402e-4,Minor
atpsyncf6,Gland,5.925490990190868e-4,Minor
atpsynd_2;atpsynd,Gland,6.957662234289825e-4,Minor
atpsynf,Gland,5.373034755557499e-4,Minor
atpsyngamma,Gland,4.178988925490147e-4,Minor
atpsyno,Gland,6.874519702522364e-4,Minor
awd,Gland,2.592636724802318e-4,Minor
b3galt5,Gland,1.0275668019310409e-4,Minor
bai_tmed10,Gland,0.0013873170022025126,Minor
bcap31,Gland,1.7348406606984733e-4,Minor
beta-spec,Gland,1.1481624239897399e-4,Minor
beta-spec_2,Gland,9.836535855124709e-4,Minor
blmh,Gland,3.600004830856548e-4,Minor
blvrb,Gland,5.33133552196006e-4,Minor
blw_atp5f1a,Dope,1.687298699513138e-4,Minor
blw_atp5f1a,Gland,0.0027992681050459972,Minor
bpnt1,Gland,1.3159283506394294e-4,Minor
brafldraft,Gland,1.2984894343545802e-4,Minor
btf3l4,Gland,5.514618976528961e-4,Minor
bzw1;bzw1_2,Gland,1.2274418501419883e-4,Minor
c05d11.1,Gland,1.565303437522861e-4,Minor
c1qbp,Gland,2.443782060050855e-4,Minor
cadn_2;cadn_3;cadn,Gland,1.0587114638548829e-4,Minor
calr_crt,Gland,0.0010209019861119517,Minor
camki,Gland,4.1596252005873926e-4,Minor
cana-14f,Gland,1.553073515157245e-4,Minor
cand1,Gland,1.3336112785967467e-4,Minor
canx,Gland,1.853614390013186e-4,Minor
cap2,Gland,1.2280683993267532e-4,Minor
capn5,Gland,1.1059250437058561e-4,Minor
capsl_2,Gland,6.100869945542863e-4,Minor
cat2_2,Gland,9.348588529989628e-4,Minor
cav1_3,Gland,3.1244903671505473e-4,Minor
cbr1,Gland,2.4002818826825365e-4,Minor
cbx3,Gland,1.6299394344434882e-4,Minor
cct1,Gland,2.101585900151458e-4,Minor
cct2,Gland,3.8943187003384784e-4,Minor
cct3,Gland,1.40691403624901e-4,Minor
cct4,Gland,2.722280621423273e-4,Minor
cct5,Gland,2.058128592920255e-4,Minor
cct6,Gland,2.9550674208667836e-4,Minor
cct7,Gland,1.3889217319370647e-4,Minor
cct8,Gland,3.073020663519598e-4,Minor
cd109;cd109_5,Gland,4.921630834444457e-4,Minor
cd109_4,Gland,3.246297726412754e-4,Minor
cd63,Gland,0.0018289202645813843,Minor
cg12163,Gland,2.2492445836830985e-4,Minor
cg1354,Gland,4.030019374306465e-4,Minor
cg3556_15,Gland,4.012461921353476e-4,Minor
cg3556_2,Gland,6.906866399941894e-4,Minor
cher_2,Gland,0.0020675061401385798,Minor
chmp4b,Gland,1.913979336912747e-4,Minor
cisd1,Gland,3.0997378824170163e-4,Minor
ciz1,Gland,4.870055132787146e-4,Minor
clta,Gland,3.788085396794595e-4,Minor
cltc,Gland,0.0010919893636840603,Minor
cmpk_2;cmpk,Gland,2.4087527791347588e-4,Minor
cnbp,Gland,5.696192445641352e-4,Minor
cndp2,Gland,8.446826621466019e-4,Minor
cnn3,Gland,7.438613271674964e-4,Minor
cnp_2,Gland,1.5748782965786906e-4,Minor
col4a1_2,Gland,4.282103848314473e-4,Minor
col4a1_let-2,Gland,1.891004616062974e-4,Minor
comt;fignl1,Gland,1.689979202320379e-4,Minor
cont,Gland,4.3929946001298537e-4,Minor
copa,Gland,2.958902041311048e-4,Minor
copb1,Gland,2.6730888447637176e-4,Minor
copb2,Gland,1.6903135119495714e-4,Minor
cope,Gland,2.3230255784111216e-4,Minor
copg2,Gland,3.559583648446584e-4,Minor
cotl1,Gland,7.461309958937625e-4,Minor
cox5a,Gland,6.056293223458566e-4,Minor
cox5b,Gland,3.0138957929443696e-4,Minor
cox6a1,Gland,4.1434098870299824e-4,Minor
cox6b1,Gland,4.2231659270165897e-4,Minor
cp1,Gland,0.0020690879374039564,Minor
cpa_3,Gland,2.978958731411804e-4,Minor
cpb_capzb,Gland,1.6321182143099288e-4,Minor
cpib,Dope,3.555330227548629e-4,Minor
cpib,Gland,0.004385810090837836,Minor
cpm_2,Gland,2.1601731948265373e-4,Minor
cpt1a_2,Gland,1.1425592677952085e-4,Minor
cpt1a_3,Gland,1.2500994688012396e-4,Minor
crat,Gland,2.5554510030157204e-4,Minor
crip1,Gland,2.9544595758567035e-4,Minor
cs,Gland,4.516936803517094e-4,Minor
cse1l,Gland,4.305713830476185e-4,Minor
csga,Gland,2.2388761363300536e-4,Minor
csga_5,Gland,1.2887260046728528e-4,Minor
cth,Gland,4.58083052515653e-4,Minor
ctsa;ctsa_2,Gland,2.11306173485235e-4,Minor
ctsb,Gland,0.004740395805742533,Minor
ctsb_2,Dope,1.8519538905926238e-4,Minor
ctsb_2,Gland,0.010996705790213362,Minor
cubn_3,Gland,6.820406769412794e-4,Minor
cut-1_6,Gland,1.2670899639208896e-4,Minor
cyb5r1_cyb5r2,Gland,1.0830797662208812e-4,Minor
cyc1,Gland,2.1244516163549564e-4,Minor
cyp1,Dope,2.1144795104292727e-4,Minor
cyp1,Gland,0.0027865370492697636,Minor
cyt-b5,Gland,6.055502818695051e-4,Minor
dap,Gland,0.0034976013625797977,Minor
dars,Gland,2.870063543305315e-4,Minor
dcd2b,Gland,1.093726539254695e-4,Minor
dctn2,Gland,1.1822841416767293e-4,Minor
dcxr_2,Gland,1.0410016660829312e-4,Minor
ddost,Gland,2.13085291474216e-4,Minor
ddx1,Gland,1.5592921812703606e-4,Minor
ddx24,Gland,1.0830713730778223e-4,Minor
ddx39b,Gland,2.9635555287306275e-4,Minor
ddx3x,Gland,1.3125076334454092e-4,Minor
ddx4_vasa,Gland,1.5930662008351685e-4,Minor
dek,Gland,1.5053386676132504e-4,Minor
dhc64c,Gland,1.5178493493821644e-4,Minor
dhrs11_8;dhrs11_3;dhrs11_11;dhrs11_12;dhrs11_5;dhrs11_10,Gland,1.6416319016418978e-4,Minor
dhrs4,Gland,1.0749102600075877e-4,Minor
dhtkd1,Gland,1.1641788464335523e-4,Minor
dld,Gland,2.8902258210092605e-4,Minor
dlg1;dlg1_2,Gland,1.2220095172087926e-4,Minor
dlst,Gland,2.805401983475431e-4,Minor
dnajc22,Gland,8.533467162779686e-4,Minor
dpm1,Gland,1.6518405918266172e-4,Minor
dpp3_3,Gland,1.4971397026063298e-4,Minor
dpp3_4,Gland,1.1236187036931815e-4,Minor
dpys,Gland,4.389246885088311e-4,Minor
dsp1,Gland,4.5100141485917493e-4,Minor
dst_2,Gland,1.433248804508888e-4,Minor
dync1li2;dync1li1,Gland,1.2626037789216672e-4,Minor
eca,Gland,9.234093866592165e-4,Minor
ece2_2,Gland,2.904728023572146e-4,Minor
ech1_2,Gland,9.507825894247816e-4,Minor
echs1,Gland,4.10763176722642e-4,Minor
eci1,Gland,2.2958127389253612e-4,Minor
edf1,Gland,1.2900098909136525e-4,Minor
eef1alpha1,Gland,0.001554323451080186,Minor
eef1alpha1_2,Dope,0.0011989879327414777,Minor
eef1alpha1_2,Gland,0.01752825217536858,Minor
eef1b_2;eef1b,Gland,0.0025524011919488554,Minor
eef1d,Gland,0.0012540903647600314,Minor
eef1g,Gland,0.002321108851203279,Minor
eef5_tif51a_eif5a1,Gland,0.0034001495473818485,Minor
ef2,Gland,0.005326511246356658,Minor
eff_9;eff_2,Gland,2.4064270934674208e-4,Minor
efhd2,Gland,1.2120951036330392e-4,Minor
ehd1,Gland,3.3556764495461467e-4,Minor
ehd1_2,Gland,2.1102823457000617e-4,Minor
ehd1_3,Gland,1.0323574458372342e-4,Minor
eif2a,Gland,1.546720543563146e-4,Minor
eif2s1,Gland,1.951295218247448e-4,Minor
eif2s3y_sgce,Gland,1.2140573011842695e-4,Minor
eif3-s7,Gland,1.8777043035950064e-4,Minor
eif3-s8,Gland,1.2187245551177617e-4,Minor
eif3a_2,Gland,1.7670521889662474e-4,Minor
eif3b,Gland,1.279645012788656e-4,Minor
eif3eb,Gland,1.0961186891075307e-4,Minor
eif3f,Gland,1.0027200845227143e-4,Minor
eif3g-b,Gland,1.2603269858784414e-4,Minor
eif3i_v1g239264_iscu,Gland,1.3065673336697917e-4,Minor
eif3j,Gland,1.8281655409790412e-4,Minor
eif3k,Gland,1.382445489793192e-4,Minor
eif3m,Gland,1.1857589262149286e-4,Minor
eif4a1,Gland,4.789947702370925e-4,Minor
eif4a2,Gland,2.962249943479466e-4,Minor
eif4b,Gland,1.8421279318115347e-4,Minor
eif4ebp2_eif4ebp1,Gland,1.599795440190628e-4,Minor
eif4h,Gland,1.0181339990373942e-4,Minor
eif6,Gland,1.481830833381733e-4,Minor
elavl2,Gland,2.1675115979899817e-4,Minor
emc1,Gland,1.0043629325931478e-4,Minor
eno1,Gland,0.0029016790398508317,Minor
enpp6_3,Gland,1.4050253887621465e-4,Minor
epb41l3_2;epb41l3,Gland,5.346937939885924e-4,Minor
eprs,Gland,4.418432385307514e-4,Minor
erf1,Gland,1.7036541525267476e-4,Minor
ergic1,Gland,2.6006317522181063e-4,Minor
erlin2-b,Gland,1.642635231117817e-4,Minor
erp44_3;erp44_2,Gland,2.500190279161016e-4,Minor
esd_2;esd,Gland,2.491993138231954e-4,Minor
etfa,Gland,4.651919175609005e-4,Minor
etfb,Gland,5.794803366622866e-4,Minor
ewsr1,Gland,3.717555409965698e-4,Minor
exc-4,Gland,3.168963969081727e-4,Minor
f26e4.3_2,Gland,2.3587141193212276e-4,Minor
f42h10.3_lasp1,Gland,1.1171601867108814e-4,Minor
faf2-b,Gland,1.1381460663586889e-4,Minor
fam120a,Gland,1.7447304132983362e-4,Minor
fas2_3,Gland,5.359797410232575e-4,Minor
fasn_8,Gland,2.9332199092921795e-4,Minor
fau_2,Gland,0.0010659849582208294,Minor
fh,Gland,3.6820516783637254e-4,Minor
fib;fib_2,Gland,9.767410064344634e-4,Minor
fk506-bp1_fpr4,Gland,2.1746159597572042e-4,Minor
fk506-bp2_fkbp1b,Gland,1.3596124623424538e-4,Minor
fkbp12,Dope,1.8319621803890567e-4,Minor
fkbp12,Gland,0.0010521096804047832,Minor
fkbp7_fkbp3_fpr2,Gland,0.0012630762783209406,Minor
flo1_2;flo1,Gland,1.5579737466739932e-4,Minor
flo2_2;flo2,Gland,2.2157183770535284e-4,Minor
flr,Gland,1.3394874263158955e-4,Minor
folr3,Gland,2.556009935172313e-4,Minor
ftcd,Gland,1.2930932520368468e-4,Minor
fubp3_fubp1,Gland,2.0247040036217552e-4,Minor
futsch,Gland,1.0831185765952581e-4,Minor
g3bp2,Gland,1.5912759691680777e-4,Minor
galphaq,Gland,2.229778778260094e-4,Minor
ganab_moda,Gland,1.0369673910524113e-4,Minor
gapdh1,Dope,2.589605546420231e-4,Minor
gapdh1,Gland,0.004773842881549537,Minor
gar1,Gland,5.409097586032484e-4,Minor
gbe1,Gland,1.3032238818344702e-4,Minor
gbeta1,Gland,3.3143837434008723e-4,Minor
gcat,Gland,6.645597621150785e-4,Minor
gcdh,Gland,2.2840256601794668e-4,Minor
gcn1,Gland,1.4679202293099643e-4,Minor
gdh,Gland,2.0174097381111375e-4,Minor
gdi2_gdi1,Gland,9.50126881520493e-4,Minor
ghra_2,Gland,1.9440534043995455e-4,Minor
glrx3,Gland,1.4316610682112938e-4,Minor
glt1;LASC007144,Gland,1.7699799084286926e-4,Minor
glyp,Gland,3.8406465218520833e-4,Minor
